Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population,Total Tests,Tests/1 mil population,Population
Anguilla,944,1.0,832,111,62183,66.0,47917.0,3156380.0,15181
Antigua and Barbuda,4058,102.0,3726,230,40987,1030.0,17674.0,178511.0,99008
Aruba,15925,171.0,15577,177,148320,1593.0,177885.0,1656763.0,107369
Bahamas,22351,643.0,21079,629,56124,1615.0,156253.0,392357.0,398242
Barbados,17763,153.0,11506,6104,61711,532.0,388760.0,1350597.0,287843
Belize,26798,491.0,23706,2601,65808,1206.0,308186.0,756808.0,407218
Bermuda,5647,101.0,5462,84,91122,1630.0,593903.0,9583409.0,61972
British Virgin Islands,2725,37.0,2649,39,89347,1213.0,82570.0,2707302.0,30499
Canada,1714414,28968.0,1659368,26078,44901,759.0,46092312.0,1207163.0,38182348
Caribbean Netherlands,2435,19.0,2340,76,91724,716.0,25579.0,963536.0,26547
Cayman Islands,1650,2.0,1002,646,24720,30.0,138625.0,2076841.0,66748
Costa Rica,559698,7029.0,500425,52244,108553,1363.0,2544016.0,493409.0,5155994
Cuba,952001,8236.0,939816,3949,84118,728.0,10521065.0,929635.0,11317411
Curaçao,17084,174.0,16798,112,103548,1055.0,314005.0,1903222.0,164986
Dominica,4823,32.0,4337,454,66778,443.0,92406.0,1279436.0,72224
Dominican Republic,381667,4130.0,371100,6437,34720,376.0,2216354.0,201622.0,10992595
El Salvador,113422,3629.0,94980,14813,17370,556.0,1357788.0,207938.0,6529758
Greenland,799,,723,76,14042,,87340.0,1534947.0,56901
Grenada,5840,198.0,5519,123,51582,1749.0,81311.0,718187.0,113217
Guadeloupe,54537,742.0,2250,51545,136269,1854.0,495286.0,1237550.0,400215
Guatemala,601572,15094.0,580691,5787,32773,822.0,2909198.0,158489.0,18355851
Haiti,23960,671.0,20345,2944,2068,58.0,131683.0,11364.0,11587356
Honduras,375381,10240.0,115886,249255,37115,1012.0,1089253.0,107698.0,10113965
Jamaica,89014,2236.0,57904,28874,29887,751.0,641347.0,215335.0,2978368
Martinique,42634,670.0,104,41860,113728,1787.0,376921.0,1005450.0,374878
Mexico,3807211,288365.0,3168911,349935,29122,2206.0,11346642.0,86792.0,130734334
Montserrat,41,1.0,34,6,8207,200.0,1408.0,281825.0,4996
Nicaragua,16422,207.0,4225,11990,2440,31.0,,,6729357
Panama,472664,7315.0,463045,2304,107301,1661.0,4075012.0,925080.0,4405039
Saint Kitts and Nevis,2669,23.0,2511,135,49702,428.0,52204.0,972142.0,53700
Saint Lucia,12559,255.0,11959,345,67981,1380.0,86659.0,469076.0,184744
Saint Martin,3872,56.0,1399,2417,97921,1416.0,54303.0,1373299.0,39542
Sint Maarten,4494,75.0,4389,30,103256,1723.0,53105.0,1220159.0,43523
St. Barth,1589,6.0,462,1121,160230,605.0,38369.0,3869013.0,9917
St. Vincent Grenadines,4995,68.0,3108,1819,44835,610.0,86254.0,774210.0,111409
Trinidad and Tobago,57329,1696.0,50732,4901,40788,1207.0,395133.0,281129.0,1405520
Turks and Caicos,2980,23.0,2902,55,75610,584.0,94789.0,2405019.0,39413
USA,46823938,766299.0,36715313,9342326,140366,2297.0,698692194.0,2094493.0,333585423
